experiment,feature_set,model,dataset,n_samples,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
combined_random,full,random_forest,TESS,361,0.9944598337950139,0.9946180555555556,0.9944627192982456,0.9945355191256832,0.9948717948717949
combined_random,full,extra_trees,CREMA-D,1115,0.48071748878923765,0.46303236147289356,0.4656905840306449,0.48020804706352727,0.4798621450234353
combined_random,full,extra_trees,RAVDESS,159,0.5157232704402516,0.4979794211591447,0.5170259130906031,0.5514591385149314,0.5044429398204123
combined_random,full,extra_trees,SAVEE,63,0.6349206349206349,0.49983398667609186,0.597087447964641,0.5891774891774891,0.49166666666666664
combined_random,full,extra_trees,TESS,361,0.997229916897507,0.9973074501118276,0.997230819145928,0.9972222222222222,0.9974358974358974
combined_random,full,rbf_svm,CREMA-D,1115,0.5318385650224215,0.5297170540339962,0.5315054241190064,0.5323507996641913,0.5328658783612702
combined_random,full,rbf_svm,RAVDESS,159,0.7169811320754716,0.7005166259536644,0.7133058619730452,0.7261381564119901,0.6945715314385819
combined_random,full,rbf_svm,SAVEE,63,0.6349206349206349,0.5338573463573463,0.6263760489950966,0.5905040378724589,0.5775793650793651
combined_random,full,rbf_svm,TESS,361,0.9889196675900277,0.988979129198662,0.9888768849243124,0.9889109932213381,0.9893713813068651
combined_strict_no_tess,mfcc,dummy_most_frequent,CREMA-D,1716,0.17074592074592074,0.04861456777833084,0.049804434821856425,0.028457653457653456,0.16666666666666666
combined_strict_no_tess,mfcc,dummy_most_frequent,RAVDESS,132,0.18181818181818182,0.05128205128205129,0.055944055944055944,0.030303030303030304,0.16666666666666666
combined_strict_no_tess,mfcc,dummy_most_frequent,SAVEE,105,0.14285714285714285,0.041666666666666664,0.03571428571428571,0.023809523809523808,0.16666666666666666
combined_strict_no_tess,mfcc,logistic_regression,CREMA-D,1716,0.4522144522144522,0.4535649977729068,0.45341661903186675,0.46891088410158765,0.45549769069342655
combined_strict_no_tess,mfcc,logistic_regression,RAVDESS,132,0.3409090909090909,0.2827440851992669,0.3084480929446548,0.2912790293422334,0.3125
combined_strict_no_tess,mfcc,logistic_regression,SAVEE,105,0.3142857142857143,0.1819500892370118,0.22603808187970284,0.20781119465329992,0.2222222222222222
combined_strict_no_tess,mfcc,linear_svm,CREMA-D,1716,0.44988344988344986,0.44987466263000875,0.44982488591596714,0.4629474885992056,0.4532223778379089
combined_strict_no_tess,mfcc,linear_svm,RAVDESS,132,0.3560606060606061,0.2999012682468565,0.32716501990566166,0.3275543900543901,0.3263888888888889
combined_strict_no_tess,mfcc,linear_svm,SAVEE,105,0.3238095238095238,0.17227833894500563,0.2217412217412217,0.18864468864468864,0.2222222222222222
combined_strict_no_tess,mfcc,random_forest,CREMA-D,1716,0.47086247086247085,0.45730711698695264,0.4575230466356055,0.4768907798643866,0.4737001935375676
combined_strict_no_tess,mfcc,random_forest,RAVDESS,132,0.23484848484848486,0.16302010070627093,0.17784010986138646,0.38773809523809527,0.2152777777777778
combined_strict_no_tess,mfcc,random_forest,SAVEE,105,0.3142857142857143,0.19236383442265795,0.2525023342670401,0.1665692007797271,0.2388888888888889
combined_strict_no_tess,mfcc,extra_trees,CREMA-D,1716,0.4784382284382284,0.45971262317766226,0.45934125062172393,0.4823462196648401,0.48185641960032455
combined_strict_no_tess,mfcc,extra_trees,RAVDESS,132,0.24242424242424243,0.160584636391088,0.17518323969936872,0.30419799498746863,0.2222222222222222
