experiment,feature_set,model,class,precision,recall,f1-score,support
combined_random,full,linear_svm,sad,0.5871886120996441,0.5729166666666666,0.5799648506151143,288.0
combined_random,full,linear_svm,angry,0.6822429906542056,0.7604166666666666,0.7192118226600985,288.0
combined_random,full,linear_svm,fear,0.583969465648855,0.5294117647058824,0.5553539019963702,289.0
combined_random,full,linear_svm,disgust,0.5714285714285714,0.625,0.5970149253731343,288.0
combined_random,full,linear_svm,accuracy,0.6136631330977621,0.6136631330977621,0.6136631330977621,0.6136631330977621
combined_random,full,linear_svm,macro avg,0.6153343178345905,0.6149129841887735,0.6120225928952356,1698.0
combined_random,full,linear_svm,weighted avg,0.61597563293803,0.6136631330977621,0.6117217941950371,1698.0
combined_random,full,random_forest,neutral,0.513595166163142,0.6640625,0.5792163543441227,256.0
combined_random,full,random_forest,happy,0.5855513307984791,0.532871972318339,0.5579710144927537,289.0
combined_random,full,random_forest,sad,0.5789473684210527,0.6493055555555556,0.6121112929623568,288.0
combined_random,full,random_forest,angry,0.656891495601173,0.7777777777777778,0.712241653418124,288.0
combined_random,full,random_forest,fear,0.7016574585635359,0.43944636678200694,0.5404255319148936,289.0
combined_random,full,random_forest,disgust,0.6216216216216216,0.5590277777777778,0.5886654478976234,288.0
combined_random,full,random_forest,accuracy,0.6024734982332155,0.6024734982332155,0.6024734982332155,0.6024734982332155
combined_random,full,random_forest,macro avg,0.6097107401948341,0.6037486583685762,0.5984385491716457,1698.0
combined_random,full,random_forest,weighted avg,0.6115620274021287,0.6024734982332155,0.5987428069352176,1698.0
combined_random,full,extra_trees,neutral,0.5333333333333333,0.6875,0.6006825938566553,256.0
combined_random,full,extra_trees,happy,0.5846153846153846,0.5259515570934256,0.5537340619307832,289.0
combined_random,full,extra_trees,sad,0.5663716814159292,0.6666666666666666,0.6124401913875598,288.0
combined_random,full,extra_trees,angry,0.6253521126760564,0.7708333333333334,0.6905132192846034,288.0
combined_random,full,extra_trees,fear,0.7197452229299363,0.39100346020761245,0.5067264573991032,289.0
combined_random,full,extra_trees,disgust,0.6342412451361867,0.5659722222222222,0.5981651376146789,288.0
combined_random,full,extra_trees,accuracy,0.5995288574793876,0.5995288574793876,0.5995288574793876,0.5995288574793876
combined_random,full,extra_trees,macro avg,0.6106098300178044,0.6013212065872101,0.5937102769122307,1698.0
combined_random,full,extra_trees,weighted avg,0.6121151237995551,0.5995288574793876,0.5935041083747064,1698.0
combined_random,full,rbf_svm,neutral,0.6060606060606061,0.703125,0.650994575045208,256.0
combined_random,full,rbf_svm,happy,0.6566037735849056,0.6020761245674741,0.628158844765343,289.0
combined_random,full,rbf_svm,sad,0.5941558441558441,0.6354166666666666,0.6140939597315436,288.0
combined_random,full,rbf_svm,angry,0.7885304659498208,0.7638888888888888,0.7760141093474426,288.0
combined_random,full,rbf_svm,fear,0.6209386281588448,0.5951557093425606,0.607773851590106,289.0
combined_random,full,rbf_svm,disgust,0.6433823529411765,0.6076388888888888,0.625,288.0
combined_random,full,rbf_svm,accuracy,0.6501766784452296,0.6501766784452296,0.6501766784452296,0.6501766784452296
combined_random,full,rbf_svm,macro avg,0.6516119451418664,0.6512168797257465,0.6503392234132739,1698.0
combined_random,full,rbf_svm,weighted avg,0.6524552674987923,0.6501766784452296,0.6502887422573888,1698.0
combined_strict_no_tess,mfcc,dummy_most_frequent,neutral,0.0,0.0,0.0,293.0
combined_strict_no_tess,mfcc,dummy_most_frequent,happy,0.16999487967229904,1.0,0.29059080962800876,332.0
combined_strict_no_tess,mfcc,dummy_most_frequent,sad,0.0,0.0,0.0,332.0
combined_strict_no_tess,mfcc,dummy_most_frequent,angry,0.0,0.0,0.0,332.0
combined_strict_no_tess,mfcc,dummy_most_frequent,fear,0.0,0.0,0.0,332.0
combined_strict_no_tess,mfcc,dummy_most_frequent,disgust,0.0,0.0,0.0,332.0
combined_strict_no_tess,mfcc,dummy_most_frequent,accuracy,0.16999487967229904,0.16999487967229904,0.16999487967229904,0.16999487967229904
combined_strict_no_tess,mfcc,dummy_most_frequent,macro avg,0.028332479945383172,0.16666666666666666,0.048431801604668125,1953.0
combined_strict_no_tess,mfcc,dummy_most_frequent,weighted avg,0.028898259114799426,0.16999487967229904,0.0493989497165893,1953.0
combined_strict_no_tess,mfcc,logistic_regression,neutral,0.3702127659574468,0.5938566552901023,0.45609436435124506,293.0
combined_strict_no_tess,mfcc,logistic_regression,happy,0.40683229813664595,0.39457831325301207,0.40061162079510704,332.0
combined_strict_no_tess,mfcc,logistic_regression,sad,0.4124293785310734,0.4397590361445783,0.42565597667638483,332.0
combined_strict_no_tess,mfcc,logistic_regression,angry,0.685823754789272,0.5391566265060241,0.6037099494097807,332.0
combined_strict_no_tess,mfcc,logistic_regression,fear,0.37538461538461537,0.3674698795180723,0.3713850837138508,332.0
combined_strict_no_tess,mfcc,logistic_regression,disgust,0.46153846153846156,0.3072289156626506,0.3688969258589512,332.0
combined_strict_no_tess,mfcc,logistic_regression,accuracy,0.43727598566308246,0.43727598566308246,0.43727598566308246,0.43727598566308246
combined_strict_no_tess,mfcc,logistic_regression,macro avg,0.4520368790562525,0.44034157106240657,0.43772565346755327,1953.0
combined_strict_no_tess,mfcc,logistic_regression,weighted avg,0.4536708475205912,0.43727598566308246,0.43735884357279453,1953.0
combined_strict_no_tess,mfcc,linear_svm,neutral,0.3651452282157676,0.6006825938566553,0.4541935483870968,293.0
combined_strict_no_tess,mfcc,linear_svm,happy,0.38943894389438943,0.35542168674698793,0.3716535433070866,332.0
combined_strict_no_tess,mfcc,linear_svm,sad,0.40934065934065933,0.44879518072289154,0.4281609195402299,332.0
combined_strict_no_tess,mfcc,linear_svm,angry,0.6527777777777778,0.5662650602409639,0.6064516129032258,332.0
combined_strict_no_tess,mfcc,linear_svm,fear,0.391156462585034,0.3463855421686747,0.36741214057507987,332.0
combined_strict_no_tess,mfcc,linear_svm,disgust,0.481981981981982,0.32228915662650603,0.3862815884476534,332.0
combined_strict_no_tess,mfcc,linear_svm,accuracy,0.43676395289298514,0.43676395289298514,0.43676395289298514,0.43676395289298514
combined_strict_no_tess,mfcc,linear_svm,macro avg,0.44830684229926837,0.43997320339377993,0.43569222552672876,1953.0
combined_strict_no_tess,mfcc,linear_svm,weighted avg,0.44996751969264087,0.43676395289298514,0.43532276746653703,1953.0
combined_strict_no_tess,mfcc,random_forest,neutral,0.3758241758241758,0.5836177474402731,0.4572192513368984,293.0
combined_strict_no_tess,mfcc,random_forest,happy,0.4368932038834951,0.4066265060240964,0.42121684867394693,332.0
combined_strict_no_tess,mfcc,random_forest,sad,0.47277227722772275,0.5753012048192772,0.5190217391304348,332.0
combined_strict_no_tess,mfcc,random_forest,angry,0.5466321243523317,0.6355421686746988,0.5877437325905293,332.0
combined_strict_no_tess,mfcc,random_forest,fear,0.4228571428571429,0.22289156626506024,0.29191321499013806,332.0
combined_strict_no_tess,mfcc,random_forest,disgust,0.4017857142857143,0.2710843373493976,0.3237410071942446,332.0
combined_strict_no_tess,mfcc,random_forest,accuracy,0.44649257552483357,0.44649257552483357,0.44649257552483357,0.44649257552483357
combined_strict_no_tess,mfcc,random_forest,macro avg,0.44279410640509714,0.4491772550954672,0.43347596565269875,1953.0
combined_strict_no_tess,mfcc,random_forest,weighted avg,0.4441314475687714,0.44649257552483357,0.4330018293794351,1953.0
combined_strict_no_tess,mfcc,extra_trees,neutral,0.39019189765458423,0.6245733788395904,0.48031496062992124,293.0
combined_strict_no_tess,mfcc,extra_trees,happy,0.4555984555984556,0.35542168674698793,0.3993231810490694,332.0
combined_strict_no_tess,mfcc,extra_trees,sad,0.4617169373549884,0.5993975903614458,0.5216251638269986,332.0
combined_strict_no_tess,mfcc,extra_trees,angry,0.5295508274231678,0.6746987951807228,0.5933774834437087,332.0
combined_strict_no_tess,mfcc,extra_trees,fear,0.4375,0.1897590361445783,0.2647058823529412,332.0
combined_strict_no_tess,mfcc,extra_trees,disgust,0.42731277533039647,0.2921686746987952,0.3470483005366726,332.0
combined_strict_no_tess,mfcc,extra_trees,accuracy,0.452636968766001,0.452636968766001,0.452636968766001,0.452636968766001
combined_strict_no_tess,mfcc,extra_trees,macro avg,0.4503118155602654,0.45600319366202013,0.4343991619732186,1953.0
